circuitId,circuitRef,name,location,country,lat,lng,alt,url,Length,Turns,laps
56,george,Prince George Circuit,Eastern Cape Province,South Africa,-33.0486,27.8736,15.0,http://en.wikipedia.org/wiki/Prince_George_Circuit,3.92,9,77
57,zeltweg,Zeltweg,Styria,Austria,47.2039,14.7478,676.0,http://en.wikipedia.org/wiki/Zeltweg_Airfield,4.717757142857142,14,64
58,aintree,Aintree,Liverpool,UK,53.4769,-2.94056,20.0,http://en.wikipedia.org/wiki/Aintree_Motor_Racing_Circuit,4.828,8,63
59,boavista,Circuito da Boavista,Oporto,Portugal,41.1705,-8.67325,28.0,http://en.wikipedia.org/wiki/Circuito_da_Boavista,4.8,23,63
60,riverside,Riverside International Raceway,California,USA,33.937,-117.273,470.0,http://en.wikipedia.org/wiki/Riverside_International_Raceway,3.3,9,92
61,avus,AVUS,Berlin,Germany,52.4806,13.2514,53.0,http://en.wikipedia.org/wiki/AVUS,2.66,6,114
62,monsanto,Monsanto Park Circuit,Lisbon,Portugal,38.7197,-9.20306,158.0,http://en.wikipedia.org/wiki/Monsanto_Park_Circuit,4.717757142857142,14,64
63,sebring,Sebring International Raceway,Florida,USA,27.4547,-81.3483,18.0,http://en.wikipedia.org/wiki/Sebring_Raceway,3.741,17,81
64,ain-diab,Ain Diab,Casablanca,Morocco,33.5786,-7.6875,19.0,http://en.wikipedia.org/wiki/Ain-Diab_Circuit,4.717757142857142,14,64
65,pescara,Pescara Circuit,Pescara,Italy,42.475,14.1508,129.0,http://en.wikipedia.org/wiki/Pescara_Circuit,4.717757142857142,14,64
66,bremgarten,Circuit Bremgarten,Bern,Switzerland,46.9589,7.40194,551.0,http://en.wikipedia.org/wiki/Circuit_Bremgarten,7.28,13,41
67,pedralbes,Circuit de Pedralbes,Barcelona,Spain,41.3903,2.11667,85.0,http://en.wikipedia.org/wiki/Pedralbes_Circuit,6.333,6,48
68,buddh,Buddh International Circuit,Uttar Pradesh,India,28.3487,77.5331,194.0,http://en.wikipedia.org/wiki/Buddh_International_Circuit,5.125,16,59
69,americas,Circuit of the Americas,Austin,USA,30.1328,-97.6411,161.0,http://en.wikipedia.org/wiki/Circuit_of_the_Americas,3.426,20,89
70,red_bull_ring,Red Bull Ring,Spielberg,Austria,47.2197,14.7647,678.0,http://en.wikipedia.org/wiki/Red_Bull_Ring,4.318,10,70
71,sochi,Sochi Autodrom,Sochi,Russia,43.4057,39.9578,2.0,http://en.wikipedia.org/wiki/Sochi_Autodrom,5.848,18,52
73,baku,Baku City Circuit,Baku,Azerbaijan,40.3725,49.8533,-7.0,http://en.wikipedia.org/wiki/Baku_City_Circuit,6.003,20,50
75,portimao,Autódromo Internacional do Algarve,Portimão,Portugal,37.227,-8.6267,108.0,http://en.wikipedia.org/wiki/Algarve_International_Circuit,4.653,15,65
76,mugello,Autodromo Internazionale del Mugello,Mugello,Italy,43.9975,11.3719,255.0,http://en.wikipedia.org/wiki/Mugello_Circuit,5.245,15,58
77,jeddah,Jeddah Corniche Circuit,Jeddah,Saudi Arabia,21.6319,39.1044,15.0,http://en.wikipedia.org/wiki/Jeddah_Street_Circuit,6.174,27,49
78,losail,Losail International Circuit,Al Daayen,Qatar,25.49,51.4542,248.0,http://en.wikipedia.org/wiki/Losail_International_Circuit,5.419,16,56
79,miami,Miami International Autodrome,Miami,USA,25.9581,-80.2389,248.0,http://en.wikipedia.org/wiki/Miami_International_Autodrome,3.363,19,90
